Nombre,Total ($),Cantidad
Opcional Genérico,0.0,71.0
No deseo pan,0.0,1.0
Naranja,0.0,3.0
Medialuna rellena de dulce de leche,0.0,18.0
Medialuna rellena de crema pastelera,0.0,21.0
Manchado,0.0,2.0
Pañuelito de crema patelera,0.0,69.0
Pañuelito de dulce de leche,0.0,43.0
Pomelo,0.0,1.0
MOSTAZA,0.0,3.0
Queso azul con masa integral,0.0,3.0
Limón,0.0,2.0
Kale y espinaca con cebolla,0.0,1.0
Relleno de membrillo,0.0,9.0
Calabaza,0.0,2.0
Ricota y Nuez,0.0,3.0
Fanta,0.0,2.0
Espinaca y tomates cherry asados,0.0,1.0
Espinaca y Crema,0.0,5.0
Cortado,0.0,18.0
Coca-Cola 500ml,0.0,1.0
Coca Cola Zero,0.0,2.0
Sacramento de chocolate,0.0,2.0
Coca Cola,0.0,3.0
Salsa blanca,0.0,12.0
Chocolate,0.0,162.0
Canela y chocolate blanco,0.0,112.0
Calabaza con masa de espinaca,0.0,15.0
Medialuna de Jamon y queso,0.0,2.0
