Nombre,Total ($),Cantidad
AGUA MINERAL c/s GAS 1.5 LOCAL,28800.0,8.0
RAVIOLES PLANCHA INDIVIDUAL,28200.0,7.0
"SANDWICH MOLDE INTEGRAL O ZANAHORIA VEGGIE LOCAL(queso, lechuga, tomate ,huevo)",28000.0,8.0
Mini Torta local,27000.0,6.0
EMPANADA POLLO UNIDAD LOCAL,26900.0,28.0
SALSA CREMA,26400.0,11.0
AGNOLOTTI CON SALSA MIXTA,24900.0,3.0
AGNOLOTTI CON BOLOGNESA,24300.0,3.0
CROISSANT PARA LLEVAR,22500.0,15.0
SALSA POMAROLA,19500.0,5.0
AGUA MINERAL c/s GAS 1.5 PARA  LLEVAR,17000.0,5.0
PAIN AU CHOCOLAT LOCAL,16800.0,14.0
DESAYUNO PREMIUM,16100.0,1.0
ADICIONAL,15800.0,15.0
SORRENTINOS CAMARÓN C/ SALSA BOLOGNESA,15500.0,1.0
BAGEL VEGGEI P/ LLEVAR,15200.0,4.0
CENA,15000.0,1.0
SALSA TUCO,14000.0,7.0
FRAPUCCINO  PARA  LLEVAR,13200.0,4.0
LIMONADA CHICA COMBINADA P/ LLEVAR,12000.0,5.0
EMPANADA CAPRESSE O ESPINACA  UNIDAD LOCAL,11600.0,12.0
FRAPUCCINO VAINILLA PARA LLEVAR,10500.0,3.0
CROISSANT RELLENO HUEVO  P/ LLEVAR,9900.0,3.0
LICUADO COMBINADO P/LLEVAR,9900.0,3.0
SANDWICH MOLDE  INTEGRAL O ZANAHORIA JAMON Y QUESO P LLEVAR,9300.0,3.0
"AGNOLOTTI CON SALSA CREMA, TUCO O PESTO",7600.0,1.0
TE/YERBITA CON LECHE LOCAL,7500.0,5.0
GASEOSA 350cc PARA LLEVAR,6900.0,3.0
ICE LATTE P/ LLEVAR,5600.0,2.0
YOGURT,5000.0,2.0
ICE TEA/ ICE COFFE LOCAL,5000.0,2.0
MINI CAKE MINI TORTA P/ LLEVAR,4500.0,1.0
BAGUETIN(queso o multi) VEGGIE P LLEVAR,3700.0,1.0
LIC OREO o VAINILLA COMBINADO LOCAL,3700.0,1.0
SANDWICH PAN REMOLACHA VEGANO,3000.0,1.0
AGUA MINERAL c/ s GAS 2 LITROS LOCAL,2500.0,1.0
CROISSSANT LOCAL,1700.0,1.0
agua caliente,1000.0,2.0
MANZANITA  LOCAL,850.0,1.0
MANZANITA,750.0,1.0
